Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Not Taken
Current PC: 0216, Target: 0214, Type: Unconditional, Result: Taken
Current PC: 0215, Target: 0217, Type: Conditional,   Result: Taken
Current PC: 0220, Target: 0602, Type: Unconditional, Result: Taken
Current PC: 0605, Target: 0607, Type: Unconditional, Result: Taken
Current PC: 0607, Target: 0611, Type: Conditional,   Result: Not Taken
Current PC: 0610, Target: 0606, Type: Unconditional, Result: Taken
Current PC: 0607, Target: 0611, Type: Conditional,   Result: Not Taken
Current PC: 0610, Target: 0606, Type: Unconditional, Result: Taken
Current PC: 0607, Target: 0611, Type: Conditional,   Result: Not Taken
Current PC: 0610, Target: 0606, Type: Unconditional, Result: Taken
Current PC: 0607, Target: 0611, Type: Conditional,   Result: Taken
Current PC: 0611, Target: 0221, Type: Unconditional, Result: Taken
Current PC: 0223, Target: 0401, Type: Unconditional, Result: Taken
Current PC: 0405, Target: 0224, Type: Unconditional, Result: Taken
Current PC: 0232, Target: 0234, Type: Conditional,   Result: Taken
Current PC: 0242, Target: 0244, Type: Conditional,   Result: Taken
