Opcode: 007, AC: 0000, Link: 0, MB: 7200, PC: 0201, CPMA: 0200
Opcode: 001, AC: 0010, Link: 0, MB: 0010, PC: 0202, CPMA: 0020
Opcode: 001, AC: 0110, Link: 0, MB: 0100, PC: 0203, CPMA: 0021
Opcode: 003, AC: 0000, Link: 0, MB: 0110, PC: 0204, CPMA: 0022
Opcode: 001, AC: 0010, Link: 0, MB: 0010, PC: 0205, CPMA: 0020
Opcode: 007, AC: 7770, Link: 0, MB: 7041, PC: 0206, CPMA: 0041
Opcode: 001, AC: 0070, Link: 1, MB: 0100, PC: 0207, CPMA: 0021
Opcode: 003, AC: 0000, Link: 1, MB: 0070, PC: 0210, CPMA: 0023
Opcode: 001, AC: 0777, Link: 1, MB: 0777, PC: 0211, CPMA: 0377
Opcode: 003, AC: 0000, Link: 1, MB: 0777, PC: 0212, CPMA: 0010
Opcode: 001, AC: 7770, Link: 1, MB: 7770, PC: 0213, CPMA: 0376
Opcode: 003, AC: 0000, Link: 1, MB: 7770, PC: 0214, CPMA: 0024
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1000
Opcode: 002, AC: 0000, Link: 1, MB: 7771, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1001
Opcode: 002, AC: 0000, Link: 1, MB: 7772, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1002
Opcode: 002, AC: 0000, Link: 1, MB: 7773, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1003
Opcode: 002, AC: 0000, Link: 1, MB: 7774, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1004
Opcode: 002, AC: 0000, Link: 1, MB: 7775, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1005
Opcode: 002, AC: 0000, Link: 1, MB: 7776, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1006
Opcode: 002, AC: 0000, Link: 1, MB: 7777, PC: 0216, CPMA: 0024
Opcode: 005, AC: 0000, Link: 1, MB: 5214, PC: 0214, CPMA: 0214
Opcode: 003, AC: 0000, Link: 1, MB: 0000, PC: 0215, CPMA: 1007
Opcode: 002, AC: 0000, Link: 1, MB: 0000, PC: 0217, CPMA: 0024
Opcode: 001, AC: 0003, Link: 1, MB: 0003, PC: 0220, CPMA: 0177
Opcode: 004, AC: 0003, Link: 1, MB: 0221, PC: 0602, CPMA: 0601
Opcode: 007, AC: 7774, Link: 0, MB: 7140, PC: 0603, CPMA: 0140
Opcode: 003, AC: 0000, Link: 0, MB: 7774, PC: 0604, CPMA: 0600
Opcode: 007, AC: 0001, Link: 0, MB: 7201, PC: 0605, CPMA: 0601
Opcode: 005, AC: 0001, Link: 0, MB: 5207, PC: 0607, CPMA: 0607
Opcode: 002, AC: 0001, Link: 0, MB: 7775, PC: 0610, CPMA: 0600
Opcode: 005, AC: 0001, Link: 0, MB: 5206, PC: 0606, CPMA: 0606
Opcode: 007, AC: 0002, Link: 0, MB: 7004, PC: 0607, CPMA: 0004
Opcode: 002, AC: 0002, Link: 0, MB: 7776, PC: 0610, CPMA: 0600
Opcode: 005, AC: 0002, Link: 0, MB: 5206, PC: 0606, CPMA: 0606
Opcode: 007, AC: 0004, Link: 0, MB: 7004, PC: 0607, CPMA: 0004
Opcode: 002, AC: 0004, Link: 0, MB: 7777, PC: 0610, CPMA: 0600
Opcode: 005, AC: 0004, Link: 0, MB: 5206, PC: 0606, CPMA: 0606
Opcode: 007, AC: 0010, Link: 0, MB: 7004, PC: 0607, CPMA: 0004
Opcode: 002, AC: 0010, Link: 0, MB: 0000, PC: 0611, CPMA: 0600
